CustomerID,Customer Name,Phone,City,RegionCode,Country,Segment,Annual Spend (NGN),Clean Date,Email Clean
C0269,Safiya Adeyemi,0808 4494257,Lokoja,R09,Nigeria,Retail,3079716,15-07-18,safiya.adeyemi@gmail.com
C0013,Chioma Okoro,08188124540,Ekwulobia,R05,Nigeria,Retail,4691524,17-12-19,c.okoro@outlook.com
C1162,Blessing Okonkwo,08192500103,Gwagwalada,R08,Nigeria,Retail,1558143,17-02-20,blessing.okonkwo@company.ng
C0025,Maryam Umar,0812 2003818,Okene,R09,Nigeria,Wholesale,2947808,15-05-22,maryam.umar@company.ng
C0027,Uchenna Ezeani,0813 6706714,Bonny,R06,Nigeria,Retail,1840959,15-08-21,uchenna.ezeani@gmail.com
C0349,Fatima Garba,08096444063,Dukku,R13,Nigeria,Retail,323808,02-02-20,f.garba@outlook.com
C0533,Apex Obiechina Resources Ltd,08065835911,Kafanchan,R11,Nigeria,Corporate,1498116,07-02-19,amarachi.obiechina@company.ng
C0620,Taiwo Abubakar,08163933043,Kaduna,R11,Nigeria,Retail,2614843,01-08-20,t.abubakar@outlook.com
C0602,Halima Anozie,08147382926,Obio-Akpor,R06,Nigeria,Wholesale,4551437,20-11-18,halima.anozie@company.ng
C0089,Lawal Abdullahi,08127003904,Ijebu-Ode,R02,Nigeria,Retail,1921446,04-05-21,lawal.abdullahi@gmail.com
C0797,Amina Chibueze,08016628169,Ekwulobia,R05,Nigeria,Retail,2028935,28-07-19,amina.chibueze@gmail.com
C0709,Oluwaseun Ihejirika,08122448974,Warri,R07,Nigeria,Unknown Segment,4263287,09-02-21,o.ihejirika@outlook.com
C0670,Ebuka Onuoha,08076002822,Kaduna,R11,Nigeria,Wholesale,1809271,24-05-22,ebuka.onuoha@company.ng
C0237,Agrofirst Onuoha Resources Ltd,0811 9691034,Kuje,R08,Nigeria,Corporate,3046366,25-09-18,modupe.onuoha@gmail.com
C0725,Amina Okeke,08134887722,Okene,R09,Nigeria,Retail,3280280,09-08-22,a.okeke@outlook.com
C0919,Safiya Waziri,08051681127,Zaria,R11,Nigeria,Wholesale,2829420,03-05-23,safiya85@yahoo.com
C0126,Uchenna Kwankwaso,08164714066,Eleme,R06,Nigeria,Retail,2421343,27-01-20,u.kwankwaso@outlook.com
C0302,Uche Okeke,08166943218,Oji River,R04,Nigeria,Wholesale,872594,28-03-19,uche.okeke@gmail.com
C0766,Rukayat Obi,08084703505,Lekki,R01,Nigeria,Wholesale,1199279,13-09-22,rukayat.obi@gmail.com
C0565,Unknown Customer,0809 1575232,Onitsha,R05,Nigeria,Retail,1708471,26-09-18,ifeanyi64@yahoo.com
C1079,Olumide Shehu,08107033089,Bonny,R06,Nigeria,Wholesale,2028965,08-04-22,olumide.shehu@gmail.com
C0557,Abdullahi Abubakar,08182594525,Kafanchan,R11,Nigeria,Retail,2348630,24-11-22,abdullahi.abubakar@company.ng
C0273,Mariam Suleiman,08122474151,Kabba,R09,Nigeria,Retail,4599269,05-04-21,mariam46@yahoo.com
C0932,Obinna Aliyu,08086049211,Kuje,R08,Nigeria,Wholesale,1281397,18-05-22,obinna.aliyu@gmail.com
C0491,Tochukwu Gwarzo,08097419205,Enugu,R04,Nigeria,Wholesale,2438562,28-05-21,tochukwu.gwarzo@gmail.com
C0771,Nnamdi Osei,08057882822,Kuje,R08,Nigeria,Retail,4830227,11-07-20,n.osei@outlook.com
C0079,Ramat Funtua,0810 6990690,Agbor,R07,Nigeria,Retail,2185760,19-08-20,ramat.funtua@company.ng
C0720,Damilola Anyanwu,08183685421,Apapa,R01,Nigeria,Retail,1893934,01-08-22,damilola.anyanwu@gmail.com
C0829,Horizon Dikko Trading Co.,08091110713,Surulere,R01,Nigeria,Corporate,3802036,24-04-19,h.dikko@outlook.com
C0996,Olumide Suleiman,08186624584,Bichi,R10,Nigeria,Retail,2217961,20-11-21,olumide.suleiman@company.ng
C0743,Apex Dikko Enterprises,0809 6381199,Dukku,R13,Nigeria,Corporate,1615797,12-12-20,oluwaseun.dikko@gmail.com
C1057,Emeka Adeyemi,0801 5056892,Kaltungo,R13,Nigeria,SME,628618,14-11-19,emeka.adeyemi@company.ng
C0086,Apex Suleiman Ltd,08179973958,Nnewi,R05,Nigeria,Corporate,2316148,13-11-18,somtochukwu20@yahoo.com
C0902,Yetunde Bello,08173370640,Gombe,R13,Nigeria,Retail,592772,18-09-18,yetunde.bello@company.ng
C0706,Premier Nzeka Resources Ltd,08029364683,Gombe,R13,Nigeria,Corporate,2577097,19-07-20,rukayat6@yahoo.com
C0164,Unity Suleiman Ltd,08124962093,Kafanchan,R11,Nigeria,Corporate,3785532,11-08-20,b.suleiman@outlook.com
C0610,Uchenna Ezeani,08189286099,Gombe,R13,Nigeria,SME,1342666,29-12-20,uchenna78@yahoo.com
C0824,Greenfield Anyanwu & Sons,0816 9787642,Wudil,R10,Nigeria,Corporate,4100649,04-01-18,s.anyanwu@outlook.com
C0175,Ramat Ibrahim,08122848143,Ogbomoso,R03,Nigeria,Retail,4371969,17-06-21,ramat.ibrahim@gmail.com
C0815,Sochima Agbo,0811 9863685,Eleme,R06,Nigeria,Retail,1992667,19-10-21,sochima91@yahoo.com
C0796,Modupe Nwachukwu,Unknown,Ogbomoso,R03,Nigeria,Retail,4745105,12-05-19,m.nwachukwu@outlook.com
C0963,Rukayat Aliyu,08075930423,Abuja,R08,Nigeria,Retail,2096227,07-04-19,rukayat54@yahoo.com
C1190,Ezinne Mbah,0816 1193414,Enugu,R04,Nigeria,Retail,4723117,28-03-22,ezinne.mbah@gmail.com
C1053,Ejike Danladi,08025323509,Apapa,R01,Nigeria,SME,3490641,21-10-22,ejike.danladi@company.ng
C0305,Oluwaseun Abubakar,0815 3804903,Ijebu-Ode,R02,Nigeria,Retail,1137760,23-08-19,oluwaseun54@yahoo.com
C0290,Chidi Ringim,08103684806,Okene,R09,Nigeria,Wholesale,2594046,25-07-20,chidi.ringim@company.ng
C1120,Yewande Suleiman,08086247802,Rano,R10,Nigeria,Retail,4667563,19-02-19,Invalid Email
C0206,Onyeka Aliyu,08116429694,Lekki,R01,Nigeria,Wholesale,242261,08-10-21,onyeka.aliyu@company.ng
C0202,Apex Shehu Group,08144930666,Kabba,R09,Nigeria,Corporate,1227068,11-08-18,adewale.shehu@company.ng
C0645,Rukayat Kankara,08151172728,Ekwulobia,R05,Nigeria,Wholesale,56018,27-06-19,rukayat64@yahoo.com
C0154,Blessing Tukur,0807 4339242,Nsukka,R04,Nigeria,SME,3008033,30-06-21,blessing.tukur@gmail.com
C0883,Funmilayo Ihejirika,0812 5832136,Ekwulobia,R05,Nigeria,Wholesale,770287,08-04-23,funmilayo69@yahoo.com
C0033,Premier Yusuf Ltd,0802 8186579,Ibadan,R03,Nigeria,Corporate,3165817,10-09-18,c.yusuf@outlook.com
C0028,Ekene Dikko,08137130119,Lugbe,R08,Nigeria,Wholesale,3179693,07-06-19,ekene.dikko@company.ng
C0169,Sochima Nwankwo,08116948340,Ekwulobia,R05,Nigeria,Retail,4099689,27-03-23,sochima.nwankwo@company.ng
C1095,Niger Okoro Group,08125901152,Abuja,R08,Nigeria,Corporate,2927061,13-05-23,ezinne60@yahoo.com
C0969,Ebuka Tukur,08081576933,Ijebu-Ode,R02,Nigeria,Retail,4732382,27-01-23,e.tukur@outlook.com
C0036,Ramatu Nzeka,0809 9860584,Osogbo,R03,Nigeria,SME,623317,28-03-23,ramatu.nzeka@gmail.com
C0418,Onyeka Ibrahim,0814 1093890,Kabba,R09,Nigeria,Wholesale,1529812,04-01-21,onyeka.ibrahim@company.ng
C0415,Lagos Bello Ltd,0807 7151024,Kabba,R09,Nigeria,Corporate,694001,28-08-20,folake.bello@company.ng
C0355,Ramatu Babangida,08144515100,Lokoja,R09,Nigeria,Wholesale,1598126,24-03-22,ramatu.babangida@gmail.com
C0783,Fatima Umar,08023135206,Agbor,R07,Nigeria,SME,2298688,02-12-22,f.umar@outlook.com
C1021,Amina Tukur,08039761342,Lekki,R01,Nigeria,Retail,1525080,01-07-21,a.tukur@outlook.com
C0324,Funmilayo Ibrahim,08163354663,Warri,R07,Nigeria,SME,3462611,05-12-19,funmilayo.ibrahim@company.ng
C0864,Bilkisu Suleiman,08107564760,Onitsha,R05,Nigeria,Retail,3679621,29-05-18,bilkisu.suleiman@gmail.com
C0229,Ramatu Nzeka,08134110793,Ijebu-Ode,R02,Nigeria,Wholesale,992937,23-08-20,r.nzeka@outlook.com
C1178,Zainab Nzeka,0802 6748950,Kaltungo,R13,Nigeria,Retail,3590716,11-04-20,z.nzeka@outlook.com
C0207,Techbase Eze Global Ventures,08017686072,Nsukka,R04,Nigeria,Corporate,1371295,05-07-19,amina.eze@company.ng
C0226,Damilola Okafor,08191625723,Ibadan,R03,Nigeria,Retail,1610501,28-05-21,damilola.okafor@company.ng
C0223,Unknown Customer,0807 4546203,Nsukka,R04,Nigeria,Wholesale,290801,02-08-22,mariam.dikko@gmail.com
C0927,Ebuka Gwarzo,0813 9314145,Nnewi,R05,Nigeria,Retail,2654767,18-05-18,ebuka.gwarzo@company.ng
C0564,Premier Obi & Sons,08085457614,Rano,R10,Nigeria,Corporate,2932149,08-04-19,nkechi.obi@company.ng
C0844,Chioma Eze,08147203591,Asaba,R07,Nigeria,Retail,3070698,06-10-21,c.eze@outlook.com
C0724,Greenfield Nwankwo Trading Co.,08099906351,Maiduguri,R12,Nigeria,Corporate,2110575,08-12-20,oluwaseun24@yahoo.com
C1014,Pronigeria Adeyemi Ltd,0802 2032481,Okene,R09,Nigeria,Corporate,1154676,02-02-23,yewande.adeyemi@gmail.com
C0428,Damilola Kankara,08081203259,Eleme,R06,Nigeria,Wholesale,2667318,24-08-22,d.kankara@outlook.com
C0947,Khadijah Obiora,08052972819,Ijebu-Ode,R02,Nigeria,Retail,3098717,26-08-20,khadijah30@yahoo.com
C0132,Lagos Obiechina Trading Co.,08025730151,Gombe,R13,Nigeria,Corporate,1970956,17-01-20,nkechi.obiechina@company.ng
C1008,Lawal Anyanwu,08182381970,Lokoja,R09,Nigeria,Retail,649530,24-03-21,lawal.anyanwu@gmail.com
C1103,Kenechukwu Onyekachi,08123641997,Lekki,R01,Nigeria,Retail,3595354,03-09-20,kenechukwu36@yahoo.com
C0657,Zainab Onuoha,0816 8739689,Ekwulobia,R05,Nigeria,Retail,1091632,31-05-20,zainab.onuoha@company.ng
C0282,Folake Garba,0807 2275689,Osogbo,R03,Nigeria,Retail,2139380,22-06-22,folake.garba@company.ng
C0146,Gbemisola Osei,0818 8298884,Awka,R05,Nigeria,SME,970057,07-08-21,gbemisola.osei@company.ng
C0750,Taiwo Nwachukwu,08176475583,Kuje,R08,Nigeria,Retail,538626,25-08-20,t.nwachukwu@outlook.com
C0322,Abuja Ihejirika Resources Ltd,08066338743,Abeokuta,R02,Nigeria,Corporate,3549797,29-04-23,m.ihejirika@outlook.com
C0718,Chidi Obiora,0808 2708787,Awka,R05,Nigeria,Retail,3263911,07-09-18,c.obiora@outlook.com
C0580,Chioma Suleiman,08103064514,Kabba,R09,Nigeria,Wholesale,1508978,22-03-21,chioma30@yahoo.com
C0296,Yetunde Okafor,08087994927,Kano,R10,Nigeria,SME,4524217,29-04-22,yetunde.okafor@company.ng
C0143,Tochukwu Chukwu,08089426383,Osogbo,R03,Nigeria,Retail,122523,05-09-21,tochukwu11@yahoo.com
C0141,Kano Shehu Enterprises,0801 3003238,Oyo,R03,Nigeria,Corporate,3738414,27-04-18,halima.shehu@company.ng
C1192,Ifeanyi Ringim,08025131569,Zaria,R11,Nigeria,Retail,2308370,05-06-21,ifeanyi.ringim@company.ng
C0356,Babatunde Umar,08196481733,Gwagwalada,R08,Nigeria,Retail,693000,21-04-23,babatunde.umar@gmail.com
C1092,Apex Abubakar Enterprises,0811 1848768,Ibadan,R03,Nigeria,Corporate,3664977,24-07-19,amina.abubakar@company.ng
C0803,Agrofirst Ezeani Group,08134064160,Sagamu,R02,Nigeria,Corporate,1873280,29-07-22,funmilayo.ezeani@company.ng
C0567,Chinedu Lawal,0803 5292708,Port Harcourt,R06,Nigeria,Retail,3551054,11-11-21,chinedu33@yahoo.com
C0707,Rukayat Obi,0811 9035855,Port Harcourt,R06,Nigeria,Wholesale,334697,02-09-18,rukayat.obi@gmail.com
C1042,Rukayat Ringim,0806 5259337,Kuje,R08,Nigeria,Retail,2141031,03-05-22,r.ringim@outlook.com
C0342,Amarachi Osei,08131345682,Kabba,R09,Nigeria,Retail,3667273,18-05-22,amarachi1@yahoo.com
C0293,Funmilayo Abubakar,0816 9042859,Okene,R09,Nigeria,Wholesale,2828608,15-11-20,funmilayo40@yahoo.com
C0372,Gateway Makarfi Global Ventures,0816 3259997,Apapa,R01,Nigeria,Corporate,2706678,01-02-20,chinonso41@yahoo.com
C0354,Sunrise Obiora Resources Ltd,08086814987,Kaduna,R11,Nigeria,Corporate,3375156,23-11-22,a.obiora@outlook.com
C0390,Pronigeria Osei Nigeria Ltd,0806 4601466,Abeokuta,R02,Nigeria,Corporate,3358111,09-09-20,somtochukwu.osei@company.ng
C0195,Unity Yusuf Trading Co.,0805 6432434,Obio-Akpor,R06,Nigeria,Corporate,1259082,15-07-18,ezinne5@yahoo.com
C0184,Apex Hassan Resources Ltd,08096358214,Obio-Akpor,R06,Nigeria,Corporate,3104324,10-09-18,hauwa.hassan@company.ng
C0679,Onyeka Nwankwo,08114071775,Maiduguri,R12,Nigeria,Retail,3023866,21-09-20,o.nwankwo@outlook.com
C1027,Olamide Ezeani,08029619519,Eleme,R06,Nigeria,Wholesale,3258058,13-03-18,o.ezeani@outlook.com
C0961,Pronigeria Anyanwu Integrated Services,08107083982,Maiduguri,R12,Nigeria,Corporate,4425814,03-04-20,c.anyanwu@outlook.com
C0058,Adewale Agbo,08056631115,Awka,R05,Nigeria,SME,3269688,23-12-20,adewale52@yahoo.com
C0806,Rukayat Anyanwu,0811 8035811,Obio-Akpor,R06,Nigeria,Wholesale,3442594,04-11-23,rukayat.anyanwu@company.ng
C1017,Ezinne Nwosu,08128536081,Gwagwalada,R08,Nigeria,Wholesale,1355017,08-04-22,ezinne.nwosu@company.ng
C0220,Bilkisu Ihejirika,08094119358,Lokoja,R09,Nigeria,Retail,3865972,12-11-22,bilkisu41@yahoo.com
C1125,Titilayo Ringim,08148319912,Biu,R12,Nigeria,SME,4980640,02-06-21,t.ringim@outlook.com
C0208,Abuja Okeke Ltd,0808 6457115,Ogbomoso,R03,Nigeria,Corporate,4285384,17-05-18,olamide.okeke@company.ng
C0506,Nkechi Dikko,08166166511,Biu,R12,Nigeria,Retail,4518028,08-04-23,nkechi.dikko@gmail.com
C0393,Onyeka Agbo,08079330153,Kaduna,R11,Nigeria,Retail,3821901,23-09-22,onyeka.agbo@gmail.com
C0391,Horizon Kwankwaso Ltd,0815 7957997,Kaltungo,R13,Nigeria,Corporate,4654173,24-09-21,g.kwankwaso@outlook.com
C0064,Ebuka Obiechina,08197319299,Oji River,R04,Nigeria,Unknown Segment,1345822,03-01-23,ebuka.obiechina@gmail.com
C0276,Ezinne Abdullahi,08033022688,Sapele,R07,Nigeria,Wholesale,1803349,20-06-19,e.abdullahi@outlook.com
C0179,Horizon Hassan Group,08093771990,Ogbomoso,R03,Nigeria,Corporate,951988,02-07-22,gbemisola.hassan@company.ng
C0205,Gateway Shehu & Sons,08191399959,Ibadan,R03,Nigeria,Corporate,3106100,23-09-21,zainab78@yahoo.com
C1081,Kenechukwu Abdullahi,Unknown,Asaba,R07,Nigeria,SME,3794714,02-12-21,kenechukwu.abdullahi@gmail.com
C0402,Safiya Waziri,0818 1445258,Kabba,R09,Nigeria,Retail,4923090,28-03-20,safiya.waziri@gmail.com
C0899,Olumide Shehu,08163445384,Agbor,R07,Nigeria,Retail,4257880,16-05-19,o.shehu@outlook.com
C0441,Yetunde Abubakar,08104044455,Bichi,R10,Nigeria,SME,981906,09-11-21,Invalid Email
C0246,Uchenna Gwarzo,08025961883,Bonny,R06,Nigeria,Retail,2832944,29-03-22,uchenna.gwarzo@gmail.com
C0867,Gateway Anyanwu Global Ventures,08124870058,Gombe,R13,Nigeria,Corporate,4426193,25-01-20,tochukwu.anyanwu@company.ng
C0512,Halima Shehu,08084174106,Kaltungo,R13,Nigeria,Retail,1532289,17-09-21,halima.shehu@gmail.com
C0676,Nkechi Obi,08028770130,Ekwulobia,R05,Nigeria,Unknown Segment,609494,20-08-20,nkechi.obi@company.ng
C0987,Chioma Obiora,Unknown,Gwoza,R12,Nigeria,Retail,4263686,06-02-18,chioma86@yahoo.com
C0438,Bilkisu Umar,08086075825,Wudil,R10,Nigeria,Retail,4538458,03-05-22,b.umar@outlook.com
C0992,Eko Ihejirika Ltd,0806 4933848,Rano,R10,Nigeria,Corporate,4056813,09-08-21,amarachi46@yahoo.com
C0419,Lawal Nwankwo,08085584093,Maiduguri,R12,Nigeria,Retail,4614438,07-05-18,lawal.nwankwo@company.ng
C1066,Khadijah Agbo,08185564304,Kaltungo,R13,Nigeria,Retail,3999877,10-05-20,k.agbo@outlook.com
C0217,Olumide Yusuf,08096369519,Lugbe,R08,Nigeria,Retail,889008,11-08-20,olumide.yusuf@gmail.com
C1088,Kano Ringim Global Ventures,0805 3705436,Kuje,R08,Nigeria,Corporate,2469950,09-12-21,u.ringim@outlook.com
C0412,Ebuka Okonkwo,08074780583,Lugbe,R08,Nigeria,Wholesale,4273387,17-03-21,ebuka70@yahoo.com
C0591,Yahaya Okonkwu,0818 7595834,Biu,R12,Nigeria,SME,1357842,31-05-22,yahaya.okonkwu@company.ng
C0508,Horizon Mbah Nigeria Ltd,0819 6607038,Port Harcourt,R06,Nigeria,Corporate,3918858,24-06-21,a.mbah@outlook.com
C0944,Ramat Onyekachi,0801 7320281,Oji River,R04,Nigeria,Wholesale,4460228,13-08-18,ramat67@yahoo.com
C0903,Pronigeria Okoro Nigeria Ltd,08012965851,Lokoja,R09,Nigeria,Corporate,1591429,19-01-23,modupe.okoro@company.ng
C0405,Peak Bello Group,08023056542,Oyo,R03,Nigeria,Corporate,1420727,05-10-20,halima88@yahoo.com
C0062,Unknown Customer,08038711695,Kaduna,R11,Nigeria,Retail,986962,24-05-21,amina76@yahoo.com
C0644,Olamide Ringim,08056614886,Awka,R05,Nigeria,Retail,883946,05-01-21,olamide.ringim@company.ng
C0795,Halima Abdullahi,08075746998,Rano,R10,Nigeria,Wholesale,3006865,08-06-23,halima.abdullahi@gmail.com
C0250,Nkechi Ihejirika,08057350960,Lugbe,R08,Nigeria,Wholesale,4605324,11-08-19,nkechi.ihejirika@company.ng
C0166,Olamide Okoro,08109891303,Gwoza,R12,Nigeria,Retail,4827221,07-10-20,olamide48@yahoo.com
C1070,Fatima Babangida,0813 1669252,Kaltungo,R13,Nigeria,SME,2890316,22-01-21,fatima.babangida@company.ng
C0788,Yewande Makarfi,08033756750,Maiduguri,R12,Nigeria,Retail,1296325,12-06-21,yewande.makarfi@gmail.com
C0881,Abdullahi Lawal,08075322689,Lokoja,R09,Nigeria,Wholesale,4510876,02-11-22,abdullahi79@yahoo.com
C0018,Oluwaseun Ihejirika,0808 1749398,Zaria,R11,Nigeria,Wholesale,4451171,01-01-21,oluwaseun.ihejirika@gmail.com
C0631,Yahaya Okoro,08196833339,Kuje,R08,Nigeria,Retail,540320,16-08-21,yahaya62@yahoo.com
C0247,Gateway Agbo Trading Co.,08037527798,Wudil,R10,Nigeria,Corporate,4109348,17-12-21,emeka.agbo@gmail.com
C0040,Eko Umar Integrated Services,08099004401,Bichi,R10,Nigeria,Corporate,2097070,26-10-19,amarachi.umar@gmail.com
C0637,Obinna Eze,08166972085,Ekwulobia,R05,Nigeria,Wholesale,740842,07-09-18,o.eze@outlook.com
C0130,Mariam Osei,08103843083,Dukku,R13,Nigeria,Retail,1695689,24-01-21,mariam.osei@gmail.com
C0083,Yetunde Abdullahi,08158295800,Abeokuta,R02,Nigeria,Retail,2421202,29-06-18,y.abdullahi@outlook.com
C0973,Olamide Chibueze,08012670987,Apapa,R01,Nigeria,SME,3441755,22-02-22,olamide.chibueze@gmail.com
C0522,Chibuzor Abdullahi,08197311359,Lokoja,R09,Nigeria,Wholesale,2443732,23-04-22,chibuzor88@yahoo.com
C0157,Blessing Osei,08198256569,Biu,R12,Nigeria,Wholesale,2060696,20-09-18,blessing1@yahoo.com
C1194,Obinna Ezeani,08143292299,Kabba,R09,Nigeria,Retail,1687878,14-03-20,o.ezeani@outlook.com
C0384,Peak Ugwu & Sons,0818 4255601,Lagos,R01,Nigeria,Corporate,476537,20-01-18,Invalid Email
C0309,Yetunde Osei,08088102055,Dukku,R13,Nigeria,Retail,1400623,07-12-21,y.osei@outlook.com
C1025,Fatima Babangida,08017510107,Ijebu-Ode,R02,Nigeria,Retail,3602440,20-01-21,Invalid Email
C0174,Sunrise Chukwu Trading Co.,0814 1384822,Kafanchan,R11,Nigeria,Corporate,3937760,03-12-20,j.chukwu@outlook.com
C0747,Zainab Onuoha,0816 3579690,Enugu,R04,Nigeria,Retail,4967210,27-05-20,zainab.onuoha@gmail.com
C0513,Safiya Suleiman,08026881586,Lokoja,R09,Nigeria,Retail,2735769,10-11-20,safiya.suleiman@gmail.com
C1123,Olumide Ugwu,0802 1733943,Bonny,R06,Nigeria,Retail,4778881,05-11-20,olumide.ugwu@gmail.com
C0515,Halima Babangida,0816 3520161,Kabba,R09,Nigeria,Retail,3816817,14-08-20,halima8@yahoo.com
C0809,Chinonso Nwankwo,08038828005,Biu,R12,Nigeria,Retail,3757084,08-12-19,chinonso40@yahoo.com
C1067,Jumoke Okonkwu,08177421973,Lugbe,R08,Nigeria,Retail,4544238,22-11-22,j.okonkwu@outlook.com
C0622,Unity Hassan Trading Co.,0801 3984807,Ijebu-Ode,R02,Nigeria,Corporate,4367895,24-08-22,m.hassan@outlook.com
C0368,Jumoke Chibueze,08169885449,Gwagwalada,R08,Nigeria,Wholesale,80550,18-09-21,jumoke11@yahoo.com
C0375,Abdullahi Okonkwo,08183929066,Agbor,R07,Nigeria,SME,1712352,30-12-22,abdullahi.okonkwo@gmail.com
C0757,Abdullahi Agbo,08083514240,Ikeja,R01,Nigeria,Retail,1597079,24-04-22,a.agbo@outlook.com
C0789,Chinonso Okafor,08078463268,Kafanchan,R11,Nigeria,Retail,1257458,31-08-20,chinonso.okafor@company.ng
C0339,Ebuka Dikko,08088931492,Ijebu-Ode,R02,Nigeria,Retail,3806004,11-06-21,ebuka.dikko@gmail.com
C0812,Yahaya Nwankwo,08188133638,Surulere,R01,Nigeria,Retail,4390211,14-08-22,yahaya.nwankwo@company.ng
C0194,Nkechi Okonkwu,0815 7448358,Gombe,R13,Nigeria,SME,3112085,15-12-21,nkechi.okonkwu@gmail.com
C0240,Kano Suleiman & Sons,08181314238,Kaduna,R11,Nigeria,Corporate,3426177,29-11-19,babatunde.suleiman@gmail.com
C1122,Gbemisola Chukwu,08142129723,Rano,R10,Nigeria,Retail,1051064,10-01-18,g.chukwu@outlook.com
C1093,Safiya Ibrahim,0816 4670626,Abeokuta,R02,Nigeria,Retail,812082,24-07-19,safiya98@yahoo.com
C0563,Babatunde Mbah,08093049095,Gombe,R13,Nigeria,SME,2365359,30-03-19,babatunde.mbah@company.ng
C1106,Yewande Musa,08198605823,Lokoja,R09,Nigeria,Retail,2038825,11-01-18,yewande.musa@gmail.com
C0072,Chidi Anozie,08056238032,Agbor,R07,Nigeria,Wholesale,4806790,01-07-21,chidi.anozie@gmail.com
C0779,Maryam Okeke,0809 4574945,Sagamu,R02,Nigeria,Retail,3818757,03-03-19,maryam36@yahoo.com
C0346,Amarachi Babangida,08079033322,Kafanchan,R11,Nigeria,SME,4190645,31-05-18,a.babangida@outlook.com
C0291,Damilola Abdullahi,08196816255,Agbor,R07,Nigeria,Unknown Segment,3717256,05-12-23,damilola58@yahoo.com
C0006,Hauwa Eze,08024686057,Obio-Akpor,R06,Nigeria,Wholesale,2942998,30-11-22,h.eze@outlook.com
